time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,max_temp_fuel,temp_blanket,temp_fuel
0,0,0,0,0,0,0,0,0,0,0
1e-06,8.0216182974687e+20,3.1374287515837e+21,7.8156478359738e+21,5.3686560886423e+21,3.3668838390489e+21,8.1387899319256e+20,1980287139.8674,1104.55375712,924.88913845262,967.03506270289
2.2e-06,8.0216436496231e+20,3.1374388589892e+21,7.8156756242533e+21,5.3686758179888e+21,3.3668936286666e+21,8.1387997678455e+20,1980293318.1781,1104.5537571195,924.88913847057,967.03506270116
3.64e-06,8.0216729860465e+20,3.1374503420964e+21,7.8157046702803e+21,5.3686964374456e+21,3.3669061103977e+21,8.1388186481989e+20,1980300539.7338,1104.5537571189,924.88913849211,967.03506269935
5.368e-06,8.0217081243439e+20,3.1374640862017e+21,7.8157389499958e+21,5.3687201549963e+21,3.3669209774339e+21,8.1388460475664e+20,1980309196.4937,1104.5537571184,924.88913851795,967.03506269756
7.4416e-06,8.0217503848548e+20,3.137480613951e+21,7.8157801093342e+21,5.3687484358529e+21,3.3669387081479e+21,8.138882113518e+20,1980319613.6725,1104.5537571178,924.88913854897,967.03506269596
9.92992e-06,8.0218011929777e+20,3.1375004833034e+21,7.8158295859856e+21,5.3687824016443e+21,3.3669599766534e+21,8.1389278203783e+20,1980332143.3472,1104.5537571172,924.88913858619,967.03506269484
1.2915904e-05,8.0218621976424e+20,3.1375243391838e+21,7.8158889929937e+21,5.3688231928921e+21,3.3669855255081e+21,8.1389847675121e+20,1980347192.7666,1104.5537571168,924.88913863087,967.03506269464
1.64990848e-05,8.0219353463432e+20,3.1375529431928e+21,7.8159602277935e+21,5.3688721181762e+21,3.3670161891395e+21,8.1390549902196e+20,1980365242.7225,1104.5537571165,924.88913868448,967.03506269605
2.079890176e-05,8.0220229544796e+20,3.1375872007859e+21,7.8160455449195e+21,5.3689307255104e+21,3.3670529402254e+21,8.1391408767479e+20,1980386864.6399,1104.5537571166,924.88913874883,967.03506270011
2.5958682112e-05,8.0221277769732e+20,3.137628189285e+21,7.8161476267928e+21,5.3690008559549e+21,3.3670969310382e+21,8.1392451802005e+20,1980412738.2906,1104.5537571172,924.88913882605,967.0350627084
3.21504185344e-05,8.0222530846533e+20,3.1376771877401e+21,7.8162696583806e+21,5.3690846960718e+21,3.3671495302052e+21,8.1393710957272e+20,1980443670.7176,1104.5537571188,924.88913891875,967.03506272322
3.958050224128e-05,8.0224027467339e+20,3.1377357091727e+21,7.8164154075564e+21,5.3691848333896e+21,3.3672123587227e+21,8.1395223770557e+20,1980480616.6763,1104.5537571217,924.88913903001,967.03506274801
4.8496602689536e-05,8.022581320088e+20,3.1378055354792e+21,7.8165893119977e+21,5.3693043160838e+21,3.3672873275349e+21,8.1397034700755e+20,1980524700.7411,1104.5537571267,924.88913916356,967.0350627878
5.9195923227443e-05,8.0227941448628e+20,3.1378887548181e+21,7.8167965722429e+21,5.3694467168017e+21,3.367376677377e+21,8.1399196448362e+20,1980577240.9494,1104.553757135,924.88913932387,967.0350628499
7.2035107872932e-05,8.0230474439674e+20,3.137987800514e+21,7.8170432485352e+21,5.369616199083e+21,3.3674830202037e+21,8.140177113751e+20,1980639773.3694,1104.5537571481,924.88913951633,967.03506294494
8.7442129447518e-05,8.0233484211406e+20,3.138105489408e+21,7.8173363563055e+21,5.3698175828715e+21,3.3676093801025e+21,8.1404831309447e+20,1980714076.2932,1104.5537571683,924.8891397474,967.03506308826
0.00010593055533702,8.0237053486754e+20,3.1382450561649e+21,7.8176839516001e+21,5.3700564031514e+21,3.367759229961e+21,8.1408460707656e+20,1980802191.8675,1104.5537571989,924.88914002484,967.03506330194
0.00012811666640443,8.024127631258e+20,3.1384101782387e+21,7.8180951932567e+21,5.3703389526333e+21,3.3679365181824e+21,8.1412754798128e+20,1980906441.8294,1104.5537572449,924.889140358,967.03506361761
0.00015473999968531,8.0246258263975e+20,3.1386049838643e+21,7.8185803628079e+21,5.3706722954159e+21,3.3681456772245e+21,8.1417820876597e+20,1981029432.5336,1104.5537573129,924.88914075812,967.03506408042
0.00018668799962237,8.0252115942726e+20,3.1388340324486e+21,7.8191508156511e+21,5.3710642334311e+21,3.3683916025349e+21,8.1423777499089e+20,1981174042.5625,1104.5537574129,924.88914123874,967.03506475449
0.00022502559954685,8.0258975404303e+20,3.1391022530639e+21,7.8198188278707e+21,5.371523201205e+21,3.3686795865185e+21,8.1430752854624e+20,1981343383.8892,1104.5537575588,924.88914181612,967.03506573049
0.00027103071945622,8.0266969040356e+20,3.1394148225491e+21,7.8205972926544e+21,5.3720580572826e+21,3.3690151876733e+21,8.1438881585235e+20,1981540724.9141,1104.55375777,924.8891425099,967.03506713592
0.00032623686334746,8.0276230334979e+20,3.1397769604705e+21,7.8214992096497e+21,5.3726777333933e+21,3.3694040104692e+21,8.1448299451907e+20,1981769361.0119,1104.5537580741,924.88914334372,967.03506914904
0.00039248423601695,8.0286885827247e+20,3.1401936148423e+21,7.8225369022558e+21,5.373390696694e+21,3.3698513679456e+21,8.1459135162808e+20,1982032416.1094,1104.5537585092,924.88914434606,967.03507201729
0.00047198108322034,8.0299043592829e+20,3.140669011736e+21,7.8237208959338e+21,5.3742041791129e+21,3.370361798179e+21,8.1471498663226e+20,1982332558.3281,1104.5537591283,924.8891455513,967.03507608154
0.00056737729986441,8.0312777671698e+20,3.141206046374e+21,7.8250584017294e+21,5.3751231354535e+21,3.3709384105635e+21,8.148546530398e+20,1982671615.5459,1104.5537600036,924.8891470009,967.03508180699
0.0006818527598373,8.0328108211909e+20,3.1418055067127e+21,7.8265513826116e+21,5.3761489148697e+21,3.3715820522485e+21,8.150105565425e+20,1983050085.1987,1104.5537612335,924.88914874488,967.03508982203
0.00081922331180476,8.0344977786087e+20,3.1424651473702e+21,7.8281942470923e+21,5.3772776762608e+21,3.3722903139004e+21,8.1518211422976e+20,1983466549.5927,1104.5537629497,924.88915084361,967.03510096523
0.00098406797416571,8.0363225473387e+20,3.1431786761791e+21,7.8299713252368e+21,5.3784986541559e+21,3.3730564416526e+21,8.1536769108163e+20,1983917036.0469,1104.5537653268,924.88915336989,967.03511634053
0.0011818815689988,8.0382561919474e+20,3.1439347789811e+21,7.831854439914e+21,5.3797924900314e+21,3.37386829011e+21,8.1556434640365e+20,1984394401.1731,1104.5537685934,924.88915641149,967.03513737911
0.0014192578827986,8.0402550545597e+20,3.1447163848631e+21,7.8338010768644e+21,5.3811299750491e+21,3.3747075334948e+21,8.1576764278132e+20,1984887866.9512,1104.5537730437,924.88916007416,967.03516590525
0.0017041094593583,8.0422601911802e+20,3.1455004457471e+21,7.8357538357732e+21,5.3824716729159e+21,3.375549429022e+21,8.1597158878215e+20,1985382881.5337,1104.5537790518,924.88916448513,967.03520420286
0.00204593135123,8.0441989052668e+20,3.1462585360501e+21,7.8376419237385e+21,5.3837689459938e+21,3.3763634607438e+21,8.1616879490919e+20,1985861497.798,1104.5537870856,924.88916979731,967.03525507917
0.002456117621476,8.0459890110911e+20,3.146958519751e+21,7.8393853071446e+21,5.3849668079003e+21,3.3771151294403e+21,8.1635090713847e+20,1986303425.8088,1104.5537977242,924.88917619426,967.03532192527
0.0029483411457712,8.047545951195e+20,3.1475673334761e+21,7.8409016430262e+21,5.3860086858146e+21,3.3777689407912e+21,8.1650933070959e+20,1986687789.8905,1104.5538116785,924.88918389603,967.0354087796
0.0035390093749255,8.0487919850871e+20,3.1480545794953e+21,7.8421152275828e+21,5.3868425687397e+21,3.3782922632346e+21,8.1663616461085e+20,1986995397.0628,1104.5538298207,924.88919316631,967.03552041106
0.0042478112499105,8.049665528368e+20,3.1483961775583e+21,7.8429660913187e+21,5.3874272565879e+21,3.3786592491946e+21,8.1672515149787e+20,1987211042.6589,1104.5538532287,924.88920432103,967.03566245139
0.0050983734998927,8.0501278044317e+20,3.1485769659129e+21,7.8434164772059e+21,5.3877368113529e+21,3.3788536283424e+21,8.1677235452849e+20,1987325152.5411,1104.5538832562,924.88921773897,967.03584161739
0.0061190481998712,8.0501639123814e+20,3.1485911189646e+21,7.8434518812584e+21,5.3877612724391e+21,3.378869156943e+21,8.1677626661596e+20,1987334046.8651,1104.5539216405,924.88923387477,967.03606606652
0.0073438578398454,8.049776681325e+20,3.1484397442676e+21,7.8430750682546e+21,5.3875025455829e+21,3.3787070389823e+21,8.1673718634299e+20,1987238422.9883,1104.5539706619,924.8892532749,967.0363459201
0.0088136294078145,8.0489740764552e+20,3.148125958124e+21,7.8422938079035e+21,5.3869659773856e+21,3.3783706402937e+21,8.1665593830035e+20,1987040246.4221,1104.5540333715,924.88927659714,967.03669396926
0.010577355289377,8.0477533718158e+20,3.1476486968704e+21,7.8411054621888e+21,5.3861497664278e+21,3.3778588452731e+21,8.1653226469502e+20,1986738843.4528,1104.5541139059,924.88930463393,967.0371265597
0.012693826347253,8.0460863469343e+20,3.146996928495e+21,7.8394825696934e+21,5.3850350593839e+21,3.3771598434329e+21,8.1636332111061e+20,1986327246.4021,1104.5542179197,924.8893383403,967.03766464387
0.015233591616703,8.0439086320527e+20,3.1461454864226e+21,7.8373624699274e+21,5.3835788229232e+21,3.3762466577198e+21,8.1614259422188e+20,1985789562.9632,1104.5543531801,924.88937886708,967.03833499956
