time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,max_temp_fuel,temp_blanket,temp_fuel
0,0,0,0,0,0,0,0,0,0,0
1e-06,8.2983515237946e+20,3.2778462831779e+21,8.1757716145723e+21,5.7102993341039e+21,3.724906791864e+21,1.0418843016465e+21,2016216754.3643,1160.1291002862,925.02259931653,1015.3846925847
2.2e-06,8.2983497473423e+20,3.2778455705779e+21,8.1757696525151e+21,5.7102978995618e+21,3.7249060325756e+21,1.0418842103874e+21,2016216324.0977,1160.1291002849,925.02259933547,1015.3846926153
3.64e-06,8.2983477411792e+20,3.2778447786383e+21,8.1757676498494e+21,5.7102964488984e+21,3.7249051091892e+21,1.0418840485068e+21,2016215835.8266,1160.1291002834,925.02259935818,1015.3846926519
5.368e-06,8.2983453666911e+20,3.2778438412372e+21,8.1757653116576e+21,5.7102948035648e+21,3.7249040314442e+21,1.0418838186372e+21,2016215258.6183,1160.1291002816,925.02259938545,1015.3846926959
7.4416e-06,8.2983425253933e+20,3.2778427192933e+21,8.1757625162136e+21,5.7102928516923e+21,3.7249027571852e+21,1.041883518605e+21,2016214568.2596,1160.1291002794,925.02259941816,1015.3846927486
9.92992e-06,8.2983391150434e+20,3.2778413725098e+21,8.1757591597918e+21,5.7102905102486e+21,3.7249012327245e+21,1.0418831398006e+21,2016213739.7591,1160.1291002768,925.02259945742,1015.384692812
1.2915904e-05,8.2983350202064e+20,3.2778397553595e+21,8.1757551285276e+21,5.7102876970339e+21,3.7248994012591e+21,1.0418826684364e+21,2016212744.988,1160.1291002737,925.02259950453,1015.384692888
1.64990848e-05,8.2983301064504e+20,3.2778378147929e+21,8.1757502902217e+21,5.7102843192521e+21,3.7248972006153e+21,1.0418820869755e+21,2016211551.2392,1160.1291002699,925.02259956106,1015.3846929792
2.079890176e-05,8.2983242151374e+20,3.2778354881847e+21,8.1757444888588e+21,5.7102802679961e+21,3.7248945593646e+21,1.0418813748562e+21,2016210119.9473,1160.1291002654,925.02259962889,1015.3846930887
2.5958682112e-05,8.2983171580412e+20,3.2778327012128e+21,8.1757375392401e+21,5.7102754140781e+21,3.7248913933616e+21,1.0418805084599e+21,2016208405.3728,1160.12910026,925.0225997103,1015.3846932202
3.21504185344e-05,8.2983087115256e+20,3.2778293655631e+21,8.1757292212385e+21,5.7102696039042e+21,3.7248876026559e+21,1.0418794604903e+21,2016206353.1812,1160.1291002536,925.02259980798,1015.384693378
3.958050224128e-05,8.2982986101664e+20,3.2778253764142e+21,8.1757192735276e+21,5.7102626550615e+21,3.7248830684604e+21,1.0418781989499e+21,2016203898.8891,1160.1291002458,925.0225999252,1015.3846935674
4.8496602689536e-05,8.2982865397539e+20,3.2778206096775e+21,8.1757073867049e+21,5.7102543515094e+21,3.724877649974e+21,1.0418766858959e+21,2016200966.1605,1160.1291002365,925.02260006587,1015.3846937949
5.9195923227443e-05,8.2982721296349e+20,3.2778149189744e+21,8.1756931957649e+21,5.7102444383289e+21,3.7248711809576e+21,1.0418748761405e+21,2016197464.9439,1160.1291002254,925.02260023467,1015.3846940681
7.2035107872932e-05,8.2982549444158e+20,3.2778081323606e+21,8.1756762719385e+21,5.7102326160325e+21,3.7248634660379e+21,1.0418727160089e+21,2016193289.4564,1160.1291002121,925.02260043723,1015.3846943962
8.7442129447518e-05,8.298234475174e+20,3.2778000488558e+21,8.1756561140436e+21,5.7102185345313e+21,3.7248542767886e+21,1.0418701421949e+21,2016188316.0476,1160.1291001962,925.0226006803,1015.3846947904
0.00010593055533702,8.2982101305121e+20,3.2777904349107e+21,8.1756321396778e+21,5.7102017869902e+21,3.7248433477344e+21,1.0418670807081e+21,2016182401.0272,1160.1291001772,925.02260097198,1015.3846952641
0.00012811666640443,8.2981812280459e+20,3.2777790210445e+21,8.175603676836e+21,5.7101819039768e+21,3.7248303725416e+21,1.041863445913e+21,2016175378.5971,1160.1291001545,925.02260132201,1015.3846958335
0.00015473999968531,8.2981469872458e+20,3.2777654990184e+21,8.1755699568616e+21,5.7101583485402e+21,3.7248150008119e+21,1.0418591397237e+21,2016167059.1122,1160.1291001274,925.02260174204,1015.3846965182
0.00018668799962237,8.2981065249908e+20,3.2777495200797e+21,8.1755301100677e+21,5.7101305131531e+21,3.7247968360895e+21,1.0418540511045e+21,2016157228.0009,1160.1291000952,925.02260224609,1015.3846973422
0.00022502559954685,8.2980588557432e+20,3.27773069503e+21,8.1754831659095e+21,5.7100977198334e+21,3.7247754359421e+21,1.0418480561229e+21,2016145645.8074,1160.129100057,925.02260285095,1015.3846983344
0.00027103071945622,8.2980028989336e+20,3.2777085971426e+21,8.1754280602572e+21,5.7100592252257e+21,3.7247503152775e+21,1.0418410188913e+21,2016132049.9862,1160.1291000118,925.02260357679,1015.3846995304
0.00032623686334746,8.2979374969101e+20,3.2776827692504e+21,8.1753636530735e+21,5.7100142329499e+21,3.7247209544031e+21,1.0418327938298e+21,2016116159.2634,1160.1290999587,925.02260444782,1015.3847009738
0.00039248423601695,8.2978614475604e+20,3.277652736629e+21,8.1752887605405e+21,5.7099619160457e+21,3.7246868136746e+21,1.0418232297718e+21,2016097681.563,1160.1290998967,925.02260549309,1015.3847027185
0.00047198108322034,8.2977735562546e+20,3.27761802751e+21,8.1752022062152e+21,5.7099014527088e+21,3.7246473568181e+21,1.0418121764998e+21,2016076326.6283,1160.1290998248,925.02260674746,1015.3847048322
0.00056737729986441,8.297672711702e+20,3.2775782030378e+21,8.1751028957357e+21,5.7098320784805e+21,3.7246020849915e+21,1.0417994942902e+21,2016051824.453,1160.1290997429,925.02260825279,1015.3847073998
0.0006818527598373,8.2975579890616e+20,3.2775328979905e+21,8.1749899183694e+21,5.7097531571893e+21,3.7245505830845e+21,1.0417850668878e+21,2016023950.3355,1160.1290996513,925.02261005931,1015.3847105301
0.00081922331180476,8.2974287802808e+20,3.2774818722526e+21,8.1748626753787e+21,5.7096642706277e+21,3.724492578248e+21,1.0417688179096e+21,2015992556.5489,1160.1290995521,925.02261222736,1015.3847143641
0.00098406797416571,8.2972849449431e+20,3.2774250703896e+21,8.1747210285889e+21,5.7095653223453e+21,3.7244280076395e+21,1.0417507298337e+21,2015957608.9959,1160.1290994503,925.02261482938,1015.3847190873
0.0011818815689988,8.2971269635061e+20,3.277362682166e+21,8.1745654513178e+21,5.7094566430967e+21,3.7243570872549e+21,1.0417308632984e+21,2015919224.4447,1160.1290993557,925.0226179524,1015.3847249484
0.0014192578827986,8.2969560575457e+20,3.277295190037e+21,8.174397146826e+21,5.709339073607e+21,3.7242803659686e+21,1.0417093722667e+21,2015877699.7527,1160.1290992859,925.02262170097,1015.3847322859
0.0017041094593583,8.2967742183963e+20,3.277223380467e+21,8.174218076573e+21,5.7092139843419e+21,3.7241987384776e+21,1.041686507691e+21,2015833518.8338,1160.1290992714,925.02262620077,1015.3847415671
0.00204593135123,8.2965840586097e+20,3.2771482852812e+21,8.1740308140104e+21,5.7090831734198e+21,3.7241133787433e+21,1.0416625989234e+21,2015787316.5821,1160.1290993633,925.02263160296,1015.3847534465
0.002456117621476,8.2963883760005e+20,3.2770710095203e+21,8.1738381153665e+21,5.7089485668428e+21,3.7240255444581e+21,1.0416379990197e+21,2015739772.9652,1160.1290996441,925.02263808937,1015.3847688474
0.0029483411457712,8.2961893084363e+20,3.2769923976822e+21,8.1736420874404e+21,5.7088116372418e+21,3.7239361978559e+21,1.0416129786274e+21,2015691407.6869,1160.1291002454,925.02264587894,1015.3847890806
0.0035390093749255,8.2959869729156e+20,3.2769124963118e+21,8.1734428475797e+21,5.7086724679123e+21,3.7238453950904e+21,1.0415875550808e+21,2015642249.5495,1160.129101372,925.02265523538,1015.3848160089
0.0042478112499105,8.2957775362274e+20,3.2768297921268e+21,8.1732366239475e+21,5.7085284258974e+21,3.7237514205446e+21,1.0415612500938e+21,2015591367.7108,1160.129103338,925.02266647656,1015.3848522737
0.0050983734998927,8.2955507545544e+20,3.2767402404331e+21,8.1730133328795e+21,5.7083724698364e+21,3.7236496828617e+21,1.0415327807655e+21,2015536273.9076,1160.1291066173,925.02267998584,1015.3849016005
0.0061190481998712,8.2952871183188e+20,3.2766361376598e+21,8.1727537675694e+21,5.7081911863599e+21,3.7235314339165e+21,1.0414997010607e+21,2015472228.76,1160.1291119148,925.02269622577,1015.3849692057
