time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,max_temp_fuel,temp_blanket,temp_fuel
0,0,0,0,0,0,0,0,0,0,0
1e-06,8.1204046704281e+20,3.2087707528822e+21,8.0084737863667e+21,5.593863222994e+21,3.6487381301881e+21,1.0169313163623e+21,1969502389.1573,1164.4147977376,974.92818313949,1024.2881737607
2.2e-06,8.1204241172472e+20,3.2087786105685e+21,8.0084958234785e+21,5.593879372141e+21,3.6487464031078e+21,1.0169321904826e+21,1969507034.4139,1164.4147978255,974.92818315841,1024.2881737868
3.64e-06,8.1204462929266e+20,3.2087873803143e+21,8.0085181370664e+21,5.5938956589515e+21,3.6487567468316e+21,1.0169339292217e+21,1969512395.5492,1164.4147979311,974.92818318113,1024.2881738182
5.368e-06,8.1204726912576e+20,3.2087978102023e+21,8.0085442149768e+21,5.5939140759141e+21,3.6487688565107e+21,1.0169364841253e+21,1969518783.2199,1164.4147980578,974.92818320838,1024.2881738563
7.4416e-06,8.1205043470453e+20,3.2088103149259e+21,8.0085754119735e+21,5.5939358969813e+21,3.6487831477721e+21,1.0169398564019e+21,1969526447.6196,1164.41479821,974.92818324109,1024.2881739024
9.92992e-06,8.120542342515e+20,3.20882532256e+21,8.0086128435174e+21,5.5939620363155e+21,3.6488002014795e+21,1.0169441215714e+21,1969535651.3407,1164.4147983927,974.92818328034,1024.2881739584
1.2915904e-05,8.1205879034574e+20,3.2088433174052e+21,8.008657725918e+21,5.5939933792017e+21,3.6488206336896e+21,1.0169494156472e+21,1969546691.8625,1164.4147986122,974.92818332745,1024.2881740263
1.64990848e-05,8.1206424569832e+20,3.2088648631672e+21,8.0087114669395e+21,5.5940309165726e+21,3.6488451122966e+21,1.0169559176985e+21,1969559915.3958,1164.4147988757,974.92818338398,1024.2881741092
2.079890176e-05,8.1207076810129e+20,3.2088906225852e+21,8.0087757198001e+21,5.5940758040719e+21,3.6488743974996e+21,1.0169638402044e+21,1969575728.8349,1164.4147991923,974.92818345183,1024.2881742104
2.5958682112e-05,8.1207855517005e+20,3.2089213761778e+21,8.008852431105e+21,5.5941294008233e+21,3.6489093759779e+21,1.0169734277567e+21,1969594611.262,1164.4147995725,974.92818353325,1024.2881743344
3.21504185344e-05,8.1208783902268e+20,3.2089580407203e+21,8.008943887316e+21,5.5941933032671e+21,3.6489510877483e+21,1.0169849616983e+21,1969617125.3366,1164.4148000294,974.92818363098,1024.288174487
3.958050224128e-05,8.1209889087464e+20,3.2090016873827e+21,8.0090527601152e+21,5.5942693772482e+21,3.6490007488668e+21,1.0169987680917e+21,1969643928.4998,1164.4148005785,974.92818374827,1024.2881746753
4.8496602689536e-05,8.1211202541126e+20,3.2090535589924e+21,8.0091821494781e+21,5.5943597881953e+21,3.6490597715681e+21,1.0170152266663e+21,1969675783.6397,1164.4148012386,974.92818388904,1024.2881749088
5.9195923227443e-05,8.121276046575e+20,3.2091150853161e+21,8.0093356217664e+21,5.5944670277004e+21,3.6491297815877e+21,1.0170347786801e+21,1969713568.5215,1164.4148020323,974.92818405802,1024.2881751997
7.2035107872932e-05,8.1214604085449e+20,3.2091878944218e+21,8.0095172380384e+21,5.594593933225e+21,3.649212630869e+21,1.0170579321219e+21,1969758282.7831,1164.4148029871,974.92818426086,1024.2881755641
8.7442129447518e-05,8.1216779756341e+20,3.2092738170431e+21,8.0097315649092e+21,5.5947436956152e+21,3.6493104023126e+21,1.0170852631928e+21,1969811050.6072,1164.4148041361,974.92818450434,1024.2881760231
0.00010593055533702,8.1219338785896e+20,3.2093748794486e+21,8.009983656753e+21,5.594919846612e+21,3.6494254015089e+21,1.0171174131969e+21,1969873116.3217,1164.4148055197,974.92818479665,1024.2881766044
0.00012811666640443,8.1222336805933e+20,3.2094932786843e+21,8.0102789939418e+21,5.595126215663e+21,3.6495601284754e+21,1.0171550795823e+21,1969945829.1714,1164.4148071865,974.92818514758,1024.2881773451
0.00015473999968531,8.1225832498717e+20,3.2096313322661e+21,8.0106233573599e+21,5.5953668422226e+21,3.6497172203684e+21,1.0171989990686e+21,1970030612.4045,1164.414809196,974.92818556895,1024.2881782946
0.00018668799962237,8.1229885430976e+20,3.2097913926419e+21,8.0110226150401e+21,5.5956458266574e+21,3.649899354135e+21,1.0172499199104e+21,1970128910.7303,1164.4148116203,974.92818607492,1024.2881795185
0.00022502559954685,8.1234552716605e+20,3.2099757153955e+21,8.0114823934132e+21,5.5959671005302e+21,3.6501090965438e+21,1.0173085597209e+21,1970242109.3721,1164.4148145475,974.92818668256,1024.2881811045
