time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,inlet_mean_temp,max_temp_fuel,temp_blanket,temp_fuel
0,0,0,0,0,0,0,0,923,0,0,0
1e-06,2.6454444233044e+20,1.0252070363501e+21,2.3743577964287e+21,1.5998286391976e+21,1.2518296039335e+21,1.2449202261645e+21,647922274.52801,923,923.00001899856,923.00000014624,923.0000150922
2.2e-06,2.5622266232911e+20,1.0064898716074e+21,2.4755006086784e+21,1.6946106336609e+21,1.1668658667236e+21,1.018834818678e+21,640432730.70437,923,923.0000458205,923.00000029597,923.00003303103
3.64e-06,2.5108791653401e+20,9.8830593990225e+20,2.4551336033211e+21,1.7107684771738e+21,1.1408463339124e+21,8.5259306335857e+20,625934784.53342,923,923.00008259085,923.00000045342,923.00005409484
5.368e-06,2.4596972407494e+20,9.6941041108331e+20,2.4150812496447e+21,1.6927302491696e+21,1.1228441547039e+21,7.240986669825e+20,612195532.9156,923,923.00013201115,923.00000061961,923.00007883956
7.4416e-06,2.4201514313629e+20,9.5462805573925e+20,2.3808037215826e+21,1.6701704067302e+21,1.1054992806866e+21,6.2033269253003e+20,601760345.19732,923,923.00019718236,923.00000079639,923.00010804982
9.92992e-06,2.3951305149311e+20,9.452937229918e+20,2.3586083243263e+21,1.6537697427106e+21,1.0915697235965e+21,5.3516606247704e+20,595171967.54267,923,923.00028153463,923.00000098659,923.00014274092
1.2915904e-05,2.3839613760496e+20,9.4124571001094e+20,2.3489964606627e+21,1.6458785584179e+21,1.0832558537444e+21,4.6632268055165e+20,592169538.58878,923,923.0003888675,923.00000119432,923.0001841821
1.64990848e-05,2.3847668336859e+20,9.4180391510817e+20,2.3506130310187e+21,1.6460498745506e+21,1.0808950083304e+21,4.1291610558581e+20,592231787.444,923,923.00052351147,923.00000142533,923.00023393718
2.079890176e-05,2.3956382214945e+20,9.4625377813609e+20,2.3618194946223e+21,1.6532059608263e+21,1.0838786694717e+21,3.7401534651563e+20,594850334.36364,923,923.00069060104,923.00000168734,923.00029392547
2.5958682112e-05,2.4151968113704e+20,9.5407762116322e+20,2.3813898843221e+21,1.6664471105084e+21,1.0914700862441e+21,3.480836863139e+20,599660684.62553,923,923.00089643969,923.00000199041,923.00036650882
3.21504185344e-05,2.4428143653248e+20,9.6504641698707e+20,2.4087841422004e+21,1.6853342308213e+21,1.1031932553557e+21,3.3299432186795e+20,606492633.4357,923,923.00114894901,923.00000234734,923.00045461315
3.958050224128e-05,2.4786508650232e+20,9.7923713685708e+20,2.4442094922153e+21,1.7099569084204e+21,1.1189501975084e+21,3.2635706242179e+20,615376986.36228,923,923.00145822146,923.00000277401,923.00056189573
4.8496602689536e-05,2.5236220807687e+20,9.970213430551e+20,2.4886002796162e+21,1.7409253941155e+21,1.1390277639873e+21,3.2593489817833e+20,626535696.68776,923,923.00183722511,923.00000329006,923.000692975
5.9195923227443e-05,2.5793806702737e+20,1.0190586164302e+21,2.5436057434913e+21,1.7793623947423e+21,1.1640859732378e+21,3.2997960601878e+20,640375912.32075,923,923.00230273966,923.00000391987,923.00085374822
7.2035107872932e-05,2.6483643389524e+20,1.0463162727392e+21,2.6116413721921e+21,1.8269373574379e+21,1.1951710329105e+21,3.373957593391e+20,657501082.89304,923,923.0028766447,923.00000469416,923.00105183727
8.7442129447518e-05,2.7339430115099e+20,1.0801281460294e+21,2.6960367104724e+21,1.8859674266037e+21,1.2337727371043e+21,3.4773855224114e+20,678746937.80376,923,923.0035877491,923.00000565252,923.00129722607
0.00010593055533702,2.8406952408377e+20,1.1223043919494e+21,2.8013099525379e+21,1.9596069175249e+21,1.2819412554288e+21,3.6112016742194e+20,705249744.01264,923,923.00447446322,923.00000684712,923.00160319098
0.00012811666640443,2.9748636340988e+20,1.175311913823e+21,2.9336185104443e+21,2.0521602203107e+21,1.3424863956087e+21,3.7811561118951e+20,738559142.42368,923,923.00558880215,923.00000834822,923.00198769016
0.00015473999968531,3.1450797972084e+20,1.2425611179414e+21,3.1014748315753e+21,2.1695808927025e+21,1.4193004701624e+21,3.997344260157e+20,780817992.51225,923,923.00700252984,923.00001025257,923.00247548961
0.00018668799962237,3.3635212249598e+20,1.3288631758842e+21,3.3168877458289e+21,2.3202690918698e+21,1.5178778905198e+21,4.2749422681237e+20,835049518.33412,923,923.00881683418,923.0000126965,923.0031015051
0.00022502559954685,3.6477943119485e+20,1.4411740598378e+21,3.5972195936055e+21,2.5163702155859e+21,1.6461637218248e+21,4.6362387692938e+20,905624761.60697,923,923.01117800664,923.00001587707,923.00391621408
0.00027103071945622,4.0240910738292e+20,1.5898417396051e+21,3.9682992652462e+21,2.7759523796619e+21,1.8159777538862e+21,5.1145010039016e+20,999046267.91708,923,923.01430370049,923.00002008748,923.00499471673
0.00032623686334746,4.5326772207912e+20,1.7907744269003e+21,4.4698342113124e+21,3.1267922312891e+21,2.0454909861093e+21,5.760901228798e+20,1125310565.7379,923,923.01852858277,923.00002577854,923.00645248825
0.00039248423601695,5.2378477936193e+20,2.0693738579862e+21,5.1652280537774e+21,3.6132426753008e+21,2.3637183506473e+21,6.6571566807904e+20,1300379767.3182,923,923.02438718142,923.00003367028,923.0084739652
0.00047198108322034,6.246898456242e+20,2.4680304835775e+21,6.1602888463625e+21,4.3093199248937e+21,2.8190800598485e+21,7.9396390154567e+20,1550891388.431,923,923.03277185499,923.00004496476,923.011367053
0.00056737729986441,7.7484088009548e+20,3.0612484544743e+21,7.6409815819878e+21,5.3451126622135e+21,3.496678116588e+21,9.8480323659178e+20,1923662510.0359,923,923.04525185866,923.00006177589,923.01567322064
0.0006818527598373,1.0094879731289e+21,3.9882940213228e+21,9.9549197889025e+21,6.9637882337564e+21,4.5555890766413e+21,1.2830367930424e+21,2506205014.5308,923,923.06476302236,923.00008805851,923.02240547923
0.00081922331180476,1.3995987753825e+21,5.5295464402921e+21,1.3801940243289e+22,9.654906473703e+21,6.3160766655963e+21,1.7788660980612e+21,3474701388.056,923,923.09722419714,923.00013178606,923.03360615983
0.00098406797416571,2.1016355700072e+21,8.3031569325102e+21,2.0724971088407e+22,1.449780014603e+22,9.4842290666261e+21,2.6711621581901e+21,5217573858.3474,923,923.1557159184,923.00021058051,923.05378886858
0.0011818815689988,3.5015686051787e+21,1.3834014701077e+22,3.4530194619107e+22,2.4155036834492e+22,1.5801883599355e+22,4.4505312785075e+21,8692973878.6205,923,923.27265796743,923.00036812126,923.09414093859
0.0014192578827986,6.6934333447089e+21,2.6444415629777e+22,6.600624159287e+22,4.6173717227346e+22,3.020638964154e+22,8.5077131846746e+21,16616599476.224,923,923.54089244335,923.00072951883,923.18670302231
0.0017041094593583,1.5306098878571e+22,6.0471120883218e+22,1.5093838458315e+23,1.0558754875469e+23,6.9075566181069e+22,1.9456682892572e+22,37994731042.852,923,924.27683900364,923.00172137805,923.44070044161
0.00204593135123,4.2216772319785e+22,1.6678756591556e+23,4.1631064606091e+23,2.9123327224617e+23,1.9053655967833e+23,5.3681291371342e+22,104768412411.65,923,926.71147039103,923.00500593285,924.28137737827
0.002456117621476,1.1179121859804e+23,4.4164485406046e+23,1.1023873798168e+24,7.7124152083074e+23,5.0467017368595e+23,1.4228792030795e+23,277200680487.17,923,934.43590600129,923.01546008776,926.95271544103
0.002866303891722,1.842963247229e+23,7.280639448191e+23,1.8173717722256e+24,1.2716032709029e+24,8.3232885858972e+23,2.3494245775488e+23,456372666882.81,923,947.13933684024,923.03274000601,931.35662694662
