time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,temp_blanket,temp_fuel
0,0,0,0,0,0,0,0,0,0
1e-06,2.5718095667525e+18,9.9350772126431e+18,2.2998790215873e+19,1.5512902851816e+19,1.2057415989103e+19,1.2096604392631e+19,6251872.3433371,973.00000567241,973.00005041813
2.2e-06,2.5020653814233e+18,9.8127396591934e+18,2.4176870721736e+19,1.6603194368215e+19,1.1353841534619e+19,9.7141317678194e+18,6194546.6694798,973.00001247837,973.00011092018
3.64e-06,2.4640709869168e+18,9.6855202691309e+18,2.4101278803984e+19,1.6859519129209e+19,1.1221005437205e+19,8.0467403219482e+18,6081988.9306842,973.00002064457,973.00018351957
5.368e-06,2.4220516940417e+18,9.5331112470535e+18,2.3781210729643e+19,1.6729964977622e+19,1.1105234835501e+19,6.8120114343334e+18,5968791.1044616,973.00003044299,973.00027063431
7.4416e-06,2.3868216070519e+18,9.4026715891113e+18,2.3473265079381e+19,1.6522161520232e+19,1.0954660988085e+19,5.8417815630332e+18,5876377.5266399,973.00004220003,973.00037516688
9.92992e-06,2.36123872323e+18,9.3075397748233e+18,2.3240368522433e+19,1.6344800310741e+19,1.0809827935106e+19,5.055115251562e+18,5809788.9140426,973.00005630736,973.00050060057
1.2915904e-05,2.3446327553286e+18,9.2460086674224e+18,2.3086770218051e+19,1.6221070475604e+19,1.0697634583467e+19,4.4205480222308e+18,5766556.7417249,973.00007323504,973.00065111521
1.64990848e-05,2.3351171956823e+18,9.2111687420548e+18,2.2998327131403e+19,1.6146053426737e+19,1.0623133599198e+19,3.9260933327921e+18,5741607.7330705,973.00009354713,973.00083172607
2.079890176e-05,2.3307290561855e+18,9.1956359775585e+18,2.2957873263332e+19,1.6108353439646e+19,1.058062394367e+19,3.5614921113019e+18,5729838.7860424,973.00011792048,973.00104845069
2.5958682112e-05,2.3298908321962e+18,9.1934534209576e+18,2.29510336092e+19,1.609737272003e+19,1.0562018379747e+19,3.3109436205604e+18,5727181.0318784,973.00014716732,973.00130850891
3.21504185344e-05,2.3315122728925e+18,9.2005238739149e+18,2.2967708492624e+19,1.6105259803847e+19,1.0560394882781e+19,3.152825885686e+18,5730820.3797946,973.00018226222,973.00162056296
3.958050224128e-05,2.3349342528003e+18,9.2144027411226e+18,2.300175234827e+19,1.6126966020375e+19,1.0570861833292e+19,3.0630082124521e+18,5739042.7998076,973.00022437453,973.0019950053
4.8496602689536e-05,2.3398278379103e+18,9.2339072747478e+18,2.305010964352e+19,1.615974187349e+19,1.0590422399818e+19,3.0189657588057e+18,5750975.4456034,973.00027490731,973.00244430379
5.9195923227443e-05,2.3461010406843e+18,9.258754142e+18,2.311197060879e+19,1.6202576945074e+19,1.061759819623e+19,3.0027821523683e+18,5766350.1010712,973.00033554395,973.00298341551
7.2035107872932e-05,2.353830149785e+18,9.2892946867842e+18,2.3188135458029e+19,1.6255744875431e+19,1.0652061825352e+19,3.0022380624608e+18,5785328.6674746,973.00040830412,973.00363028269
8.7442129447518e-05,2.363216079352e+18,9.326350197116e+18,2.328060654166e+19,1.6320484278447e+19,1.0694342114789e+19,3.0102303440641e+18,5808390.8600284,973.00049561092,973.00440642701
0.00010593055533702,2.3745614890221e+18,9.3711292503507e+18,2.3392375401213e+19,1.6398808966816e+19,1.0745618551758e+19,3.0233458070863e+18,5836273.6635414,973.00060037133,973.00533766163
0.00012811666640443,2.3882644980412e+18,9.4252091624336e+18,2.3527367819587e+19,1.6493434338876e+19,1.0807609532696e+19,3.0404001802693e+18,5869952.6231105,973.00072607268,973.00645494373
0.00015473999968531,2.4048257926652e+18,9.4905681950144e+18,2.3690517451855e+19,1.6607805045192e+19,1.0882549190285e+19,3.0613832334175e+18,5910657.2326643,973.00087689824,973.00779539529
0.00018668799962237,2.424866969467e+18,9.5696602136792e+18,2.3887948166172e+19,1.6746209510418e+19,1.0973240066631e+19,3.0868735965113e+18,5959914.9118651,973.00105786582,973.0094035243
0.00022502559954685,2.4491593178591e+18,9.6655292995984e+18,2.4127258217212e+19,1.6913973050437e+19,1.108316955306e+19,3.1177934280598e+18,6019621.2566124,973.00127499367,973.01133268523
0.00027103071945622,2.4786639895318e+18,9.781968660386e+18,2.4417916169001e+19,1.7117733106502e+19,1.1216686432006e+19,3.1553519934504e+18,6092138.5860225,973.00153549923,973.0136468243
0.00032623686334746,2.51458650593e+18,9.9237358621902e+18,2.477179791674e+19,1.7365814978604e+19,1.1379245881982e+19,3.2010810134066e+18,6180429.85558,973.00184803702,973.01642256331
0.00039248423601695,2.5584508792291e+18,1.0096845377307e+19,2.5203916883129e+19,1.766874352076e+19,1.1577744457788e+19,3.2569200463408e+18,6288240.818656,973.00222298323,973.01975168546
0.00047198108322034,2.6122016662026e+18,1.0308971343614e+19,2.5733429378026e+19,1.8039947885535e+19,1.1820981815674e+19,3.3253444280933e+18,6420350.8535701,973.00267277604,973.02374409701
0.00056737729986441,2.6783467666284e+18,1.0570011115519e+19,2.6385041340159e+19,1.8496747684457e+19,1.2120306897393e+19,3.4095466906909e+18,6582923.9360445,973.00321232221,973.02853135114
